ID;leftContext;node;rightContext;truth;prediction;explanation;confidence;promptTokens;completionTokens;totalTokens;labelLogProb;labelProbability
1;"gelyfan on þone soþan God þe wilt þa heofonas &amp; geworhte ealle þing . An hæðen mann wæs iu on Egypta lande ær Cristes acennednysse , &amp; he cydde be Criste , Hermes gehaten , &amp; se hælend geceas hine to gewitnysse for his micclan wisdome . He awrat ane";boc;, þe hatte þuss on Leden : Uerbum Perfectum , þæt is , Fulfremed Word . :text_missing Word þæt ge magon gehyran hu se :text_missing soðlice oncneow : Filius benedicti Dei atque bonæ uoluntatis , cuius nomen non potest humano ore narrari : Est autem inenarrabilis sermo sapientiæ , sanctus;signular;singular;The node word 'boc' means 'book' in Old English. It appears after the singular indefinite article 'ane' ('a'), forming the phrase 'ane boc' ('a book'), which clearly indicates a singular noun. Therefore, the correct classification is singular.;0.9700;387;384;771;-0.000000;1.000000
2;þam , and we belucað swa mid urum lofsangum þone halgan geleafan þe we habbað to Gode , for ðan ðe we gelyfað on þone lyfiendan God , on ða halgan þrynnysse , þe heofonas gewylt and ealle gesceafta , an ælmihtig Scyppend , swa swa gewrita cyðað on Cristenum;bocum;, and ða halgan fæderas , fram frymðe middaneardes . Æfre wæs se Fæder witodlice mid þam Suna , and eac se Halga Gast , on eallum his færelde , for ðan ðe hi ðry sind an þrymwealdend God on anre Godcundnysse æfre rixiende , on anum gecynde , ealle;plural;plural;In Old English the noun *boc* ‘book’ forms its dative plural with the ending –um (e.g., *bocum*). The context shows a preposition *þam* (dative) governing the noun, confirming that *bocum* is a dative plural form meaning ‘to/for the books’. Hence the node is plural.;0.9800;400;388;788;0.000000;1.000000
3;"gefyrðriun to Gode . Se syrwienda deofol swicað æfre embe us , and on þæs mannes forðsiðe fela cnottan him bryt ; ac se mann behofað micclum gebeda gehadodra manna , þe him foreðingian on his forðsiðe , þæt he þam feonde ætberste ; for ðam ðe we rædað on";bocum;þæt se reða feond come swilce egeslic draca to anum licgendum cnihte , wolde his sawle habban for his synnum to helle , ac ðær comon munecas to on ðæs mannes forðsiðe , and geornlice bædon for þam geongan cnihte , oððæt hi swa afligdon þone feondlican dracan , and;plural;plural;"The node word is *bocum*. In Old English, the noun *bōc* (book) has the dative plural form *bōcum* (the -um ending marks dative plural for strong masculine nouns). The context surrounding it does not indicate a singular form, and the morphology clearly matches the plural paradigm, so the appropriate label is ""plural"".";0.9700;400;182;582;0.000000;1.000000
4;ðe us secgað bec þæt he hit sceole ðicgan , ac he his ne mæg onbyrian gif he bið gewiten ær . To goddra manna forðsiðe God asent his englas , þæt hi heora sawla onfon on heora forðsiðe , and gelædon to reste , swa swa we leorniað on;bocum;, and Crist him tæcð wununge be heora gewyrhtum . Ða ðe gode beoð , and Gode ær gecwemdon , on eallum godum weorcum , ða wuniað mid Gode , and ða ðe ne beoð ful gode , ne afeormode mid ealle fram eallum heora synnum , þa sceolon to;plural;plural;"In Old English, the noun *boc* (""book"") is a neuter strong noun. Its dative plural form is *bocum*. The ending -um marks the dative case for plural nouns, not singular. Therefore the node word refers to multiple books in the dative case, indicating a plural form.";0.9900;381;230;611;0.000000;1.000000
5;eorðan ne beoð nane oðre buton Godes gecorenan , þe his halgum gegearcode fela eardungstowa . Æfter ðysum dome ure Drihten færð to his heofonlican Fæder , mid þam halgum mannum ðe he on middanearde of þære moldan arærde , and betæchð hi his Fæder , swa hit stent on;bocum;": Cum tradiderit regnum Patri suo : þæt is on urum gereorde , þonne he betæhcð rice his Fæder ; for ðan ðe hi beoð Godes rice , and hi rixiað mid Gode . Crist him gelæst þonne , swa swa he him on life behet , ða ða he";plural;plural;"The word 'bocum' is the dative plural form of the Old English noun 'boc' (book). In Old English, masculine strong nouns have the dative plural ending '-um', as in 'bocum' meaning 'in/with the books'. The context ""on bocum"" (in the books) further confirms the plural usage.";0.9900;382;415;797;0.000000;1.000000
7;, ge worda ge weorca , þæt God witodlice ælcum men gylt eft be his agenum dædum . He sæde eac soþlice hym þis bigspell þus : Hu mæg la se blinda lædan þone blindan , and hu ne feallað hy begen on sumne blindne seað ? Bispell getacnað on;bocum;gelome oðer þing on wordum and oðer on getacnungum . Nu ne mæg nan lareow , butan he ða lare hæbbe , þa læwedan men gerihtlæcan to Godes rihtwisnysse , ne se leahterfulla man ne mæg leahtras forbeodan , ne ðam dysigan styran , buton he styre ærest his agenum;plural;plural;The node word 'bocum' is the dative case form of the Old English noun 'bóc' (book). In Old English, the dative singular ending is '-e' (bóce), while the dative plural ending is '-um' (bocum). The presence of the '-um' suffix indicates a plural form, meaning 'to/for the books'. Therefore the correct classification is plural.;0.9900;386;198;584;-0.000000;1.000000
8;"nu dyde he eac swa be his Drihtnes wordum , þæt he manega menn mid his lare gefeng , and mid wundorlicum tacnum þe he geworhte on life , swa swa he ær gefeng fixas mid his nettum ; and we gyt habbað his halgan lare mid us on Cristenum";bocum;, us sylfum to beterunge . Hy tugon þa to lande heora scipa gehladene , and hy ealle þing forleton , and folgodon swa Criste . Crist geceas fisceras him sylfum to folgerum , ungelærede men , and hy forleton ealle þing , his lare folgiende , and him her;plural;plural;The node word is *bocum*. In Old English, the noun *bōc* ‘book’ forms its dative plural as *bócum* (nominative/accusative plural *bēc*). The -um ending is the characteristic dative plural suffix for weak/strong nouns, whereas the dative singular would be *boc* (without -um). Therefore the word is plural.;0.9900;362;288;650;0.000000;1.000000
10;þæt we wunian moton on ðam ecum eardungstowum æfter urum forðsiþe mid ðam Godes mannum þe we ure god doð nu . Ne sceole we na mid facne us freond gewyrcan , ac þis is soð bysen hu we sceolon don of rihtum gestreonum , swa swa we rædað on;bocum;: dælan nu ælmyssan , and don beforan us , þæt we habban hy eft be hundfealdum us sylfum , þær þær nan þeof ne mæg ne ne mot hy forstelan , ne nan moððe ne mæg ne nan om hym derian , ac hy andsunde þær us beoð gehealdenne;plural;plural;"In Old English, the noun *boc* (""book"") is a neuter a‑stem. Its dative singular form is *boce*, while the dative plural form is *bocum*. The ending -um is the regular dative plural ending for a‑stem nouns, indicating that the word refers to multiple books. Therefore, *bocum* is plural.";0.9900;375;403;778;0.000000;1.000000
11;hlafordes godum . Þa worldmen soðlice , þissere worlde bearn , syndon micele snoteran on heora cynryne þonne þæs leohtes bearn , þæt synd þa geleaffullan . Þa worldmen cunnon þa worldcundan snoternysse , and þa yfelan hocas þe se Hælend onscunað , be ðam is awriten þisum wordum on;bocum;": Sapientia enim huius mundi stultitia est apud Deum : þissere worlde wisdom is stuntnyss ætforan Gode . Þu telest to wisdome þæt þu þin gewill hæbbe , and þu mæge oferdrifan oþerne man mid wo ; ac Crist wile habban unsceððinysse on us , and þa bilehwitnysse , swa";plural;plural;"The Old English noun *boc* (""book"") is a neuter strong noun. Its dative plural form is *bócum* (spelled *bocum* here), characterized by the -um ending. The surrounding context uses dative case (e.g., *þisum wordum*), confirming the dative plural usage. Therefore the node word is plural.";0.9700;406;395;801;0.000000;1.000000
12;segð us se godspellere þe þiss godspell gesette þe nu gebirað to þissere mæssan , MARCVS gehaten se þe wæs martyr for Criste , þæt ure Hælend becom to þære galileiscan sæ , farende fram gemærum þæs tyriscan folces geond þæt sidoneiscan , on þam sælande Decapolis , swa on;bocum;"synd gehatene tyn burhscira . Ða gebrohte man him to , tomiddes þam folce , ænne dumne mann , &amp; se wæs eac swilce deaf , &amp; bædon þone Hælend þæt he hine hrepode mid his halwendum fingrum ; &amp; se Hælend sona gelædde þone mannan ut of þære meniu";plural;plural;The node word is 'bocum'. In Old English, 'boc' means 'book'. The form ending in '-um' is the dative case plural (nominative singular would be 'boc', accusative singular 'boc', genitive singular 'boces', nominative plural 'bocas', accusative plural 'bocas', dative plural 'bocum'). Therefore the word is plural.;0.9900;395;212;607;0.000000;1.000000
