ID;leftContext;node;rightContext;truth
1;, and diaconas , and clericas , and dæghwamlice mid him Godes lof gefylde mid gastlicum sangum . On ðære byrig wæs sum þegn Bonifacius gehaten , se wearð færlice dumb , and his wif þa asende to þam halgan bisceope , and bæd his geneosunge . Efne ða se;bisceop;"eode to his huse , and an wifman wæs ðær wod on his huse , and se deofol clypode and cwæð þurh þone wodan to ðam halgan bisceope , ic gedo þæt man gebint ðe , handum and fotum , and heonon ðe swa tihð of þysre byrig ; and";singular
2;, and he wearð hal sona , mid þam ðe he clypode Cristes naman him to fultume . Þa awearp se gehæleda his hæðenscype him fram , and gelyfde on ðone hælend , and mid geleafan wearð gefullod . Hit gelamp þa æfter fyrste þæt þa ungeleaffullan hæðenan gebundon þone;bisceop;, and to ðære byrig Rauenna geleddon on bendum , and beoton hine wodlice . Ða gebæd hine se bisceop bealdlice to Gode , and heora deofolgild wearð towend , and heora templ toworpen . Þa gesawon ða hæðenan þæs halgan weres mihte , and clypodon mid gehlyde , be;singular
3;", and heo wearð forgifen Ecfride cynincge , and twelf gear wunode ungewemmed mæden on þæs cynincges synscype , swa swa swutele wundra hyre mærða cyðaþ , and hire mægðhad gelome . Heo lufode þone hælend þe hi heold unwemme , and Godes ðeowas wurðode ; an þæra wæs Wilfrid";bisceop;þe heo swyðost lufode , and he sæde Bedan þæt se cyning Ecfrid him oft behete mycel on lande and on feo , gif he læran mihte Æðeldryðe his gebeddan , þæt heo bruce his synscipes . Nu cwæð se halga Beda þe þas boc gesette þæt se ælmihtiga God;singular
4;, and þæra halgena siðfæt is gegearcod . Þes bisceop worhta fæla wundra þuruh God , and him wearð geswutelod on swæfne be þysum , and eall þæs mædenes mod him wearð ameldod . Ða gespræc þæt mæden sumne messepreost , Eutropius gehaten , þæt he hyre ærende abude þam;bisceope;þysum wordum geornlice , we ðry gebroðra wyllað gecyrran fram þam fulan hæðenscype to hælende Criste , and we nellað nateshwon us næfre totweman . Þa þæs on mergen se mæssepreost abead þæs mædenes word þam mæron bisceope . Þa het se bisceop hi gelangian , mycclum þanciende þam ælmihtigan;singular
5;, ne wifmen ne beon butan sidefulnysse , ne se hlaford ne beo leas on wordum , ne nan cristen man ne sceal sceandlice flitan . Eft bið swiðe þwyrlic , þæt ðearfa beo modig , and forcuðlic hit bið þæt cyning beo unrihtwis . Eac bið swyþe derigendlic þæt;bisceop;beo gymeleas , and unfremful bið þæt folc beo butan steora , oððe butan æ , him eallum to hearme . Þissere worulde hæl is þæt heo witan hæbbe , and swa ma witena beoð on bradnysse middaneardes , swa hit bet færð æfter ðæs folces þearfa . Ne bið;singular
6;, on Abrahames wisan . Þa on sumne sæl gelamp hit for heora synnum , swaþeah , þæt þa hæþenan fuhton on þam folce sige , and arcam domini gelæhtan þæt is Drihtnes scrin , on þam scrine wæs gehealden se heofonlica mete , and Aarones gyrd , þæs æreston;bisceopes;, and Moyses tabulan , þe on þam munte wæron mid Godes fingre awritene , his folce to lare . Þa ferodon þa hæþenan þæt foresæde scrin mid þam heofonlican haligdome ham to heora temple , and settan hit þa arwurðlice up to heora gode , se god hatte Dagon;plural
7;, þa habbað þa ecean reste and unawendendlice welan . Hwæt ða Demosten deoflice wearð gehathyrt , and betæhte þone halgan sumum hundredes ealdre to healdenne on cwearterne oðþæt he hine acwealde . Se hundredes ealdor wæs ðam hæðenan bediglod , and wæs digellice cristen , and cwæð to þam;bisceope;", min fæder , ic ðe bidde , ne beo þu swa hræd to deaðe , forðan þe us is þin lif nydbehefe git ; ac far þe nu digellice þær ðu frið hæbbe , oþþæt ðises folces hatheortnyss hwæthwega beo gestylled . He eode ða nihtes þæt he his";singular
8;, þaða se cristendom wæs wel ðeonde þurh God on Angelcynne under ðam ylcan cynincge , þa geswutelode God þone sanct Swyðun mid manegum wundrum , þæt he mære is . His dæda næron cuðe ærðan þe hi God sylf cydde , ne we ne fundon on bocum hu se;bisceop;"leofode on þysre worulde , ærðan þe he gewende to Criste . Þæt wæs þæra gymeleast þe on life hine cuþon , þæt hi noldon awritan his weorc and drohtnunge þam towerdum mannum ðe his mihte ne cuðon ; ac God hæfð swa þeah his lif geswutelod , mid swutelum";singular
9;, þæt he hyre ærende abude þam bisceope þysum wordum geornlice , we ðry gebroðra wyllað gecyrran fram þam fulan hæðenscype to hælende Criste , and we nellað nateshwon us næfre totweman . Þa þæs on mergen se mæssepreost abead þæs mædenes word þam mæron bisceope . Þa het se;bisceop;hi gelangian , mycclum þanciende þam ælmihtigan Gode þæt he wolde him onwreon þæs mædenes wyllan . He genam hi þa onsundron and sæde hyre gewislice hwæt heo man ne wæs , and hwylcere mægþe , and þæt heo þurh mægðhad mycclum gelicode þam heofonlican cyninge þe heo gecoren hæfde;singular
10;. Þa dydon hi sona swa , and sungon þone lofsang , oðþæt heom laðode eallum þæt hi swa oft arisan , hwilon þrywa on niht , hwilon feower syðum , to singenne þone lofsang þonne hi slapan sceoldon , and forleton ealle endemes þone sang , forðam þe se;bisceop;wæs bysig mid þam cynincge , and nyste butan hi sungon þone lofsang forð on . Hwæt ða se halga Swyðun sylf com on swefne wundorlice geglencged to sumum godan menn and cwæð , Gang nu to ealdan mynstre , and þam munecum sege þæt Gode swyðe oflicað heora ceorung;singular
11;"; ac him gebyrede swa ðeah þæt feorh earfoðlice . Us sæde eac oft Aþelwold , se halga bisceop þe nu wyrcð wundra ðurh God , þæt he cuðe anne mann mid Ælfege bisceope , se wolde drincan on Lenctene þonne hine lyste . Þa sume dæg bæd he þone";bisceop;Ælfeh blætsian his ful . He nolde , and se dysiga dranc butan bletsunge and eode him ut . Man slætte þa ænne fearr feringa þærute , and se fear arn him togeanes , and hine ðyde þæt he his feorh forlet , and gebohte swa ðone untiman drenc .;singular
12;"; and hine sohton þa cristenan , and his lare hlyston mid geleafan georne ; and ealle ða untruman þe him oft to comon wurdon gehælede , and ham gesunde cyrdon . Þa sendon ða hæðengildan mid hetelicum geðance ærende to þam casere , þæt he acwellan hete þone halgan";bisceop;, þæt heora biggencgas ne wurdon mid ealle adwæscte þurh ðone Drihtnes bydel . Ða sende se casere sona him þis gewrit , Gif ænig man gremige ure godas dyrstiglice , gebete he wið hi oððe he beo adræfed awæg of ðære byrig , forðan þe hit ne bið na;singular
13;"; and þa cwæð se sacerd , hwæt tæcst þu nu to ræde ? And he him hraþe andwyrde , ne mot ic nateshwon into þære stowe faran buton ic hæbbe leafe þæs halgan Gregories . Þa macode se sacerd his fare on mergen ofer langne weg to þam geleaffullan";biscope;, and his fet gesohte , his sið bemænende , þæt his bigleofa moste mid ealle him losian , for þam þe he afligde færlice mid his tocyme þone god þe he wurðode of his gewunelican stowe . Ða awrat Gregorius þis gewrit to þam gode : ic grete þe;singular
14;? Gewit aweg , gewit , þe læs þe þe gewurðe þin anwilnyss to deopran synne . Underfoh þone bend þe ure Drihten geband : he is se mæsta læcedom þinre manfullan dæde . Þa wiste se casere wel hwæt he mænde , þæt he sylf wære gebunden þurh þæs;biscopes;"hæse , and fram Godes cyrcan ascyred swa wære oðþæt se bisceop hyne unbunde eft ; and he wæs þa gehyrsum hys hæsum sona , gewende þa swa ham dreoriglice heofigende . He sæt þa on hys bure biterlice wepende eahta monðas fullice for hys misdæde , þæt he næfre";singular
15;"ac ða þæ of Gode synd acennede . And þæt Word is geworht flæsc &amp; hit wunode on us . And we sylfe gesawon soðlice his wuldor , swylc wuldor swa gedafenað Godes ancennedan Suna , eall fulne mid gyfe &amp; mid soðfæstnysse . Augustinus se wisa &amp; se wordsnotera";bisceop;"sæde þæt he ne mihte :text_missing *yc:text_missing+> gehyran þonne he him sylf wæs embe þæt halige godspell for þære micclan deopnysse þæs diglan andgites . Ac he asmeade þeah hwæðre sume þa getacnunge þurh Godes sylfes fultum þæs :text_missing &amp; be his onwrigenysse we hit awritað on engliscre spræce .";singular
16;and ealle his gegadan , Gode to forsewennysse , ælc his recelsfæt ætforan Godes getelde , and ontendon þone stor , swa swa man steran sceal , swylce hi mihton hi sylfe gewyrcan Gode to sacerdon , buton he sylf hi gecure , swa swa Aaron wæs , se arwurða;bisceop;, þone þe God sylf geceas , and gesette him to bisceope on þa ealdan wisan æfter Moyses æ . Mid þam þe hi ðus dydon mid dyrstigon anginne , þa ætiwde þær sona gesewenlice Godes wuldor , and God cwæð to Moysen , Gað him fram hraðe . And;singular
17;and he clænlice lyfode syððan of þam dæge on swiðlicre forhæfdnysse , and ealle woruldþing forlet , and wunode mid þam bisceope . He wearð þa gefullod , and swa fullfremedlice þeah on halgum mægnum , mid micclum geleafan , and on Godes lare , þæt he æfter Gregorie to;biscope;"wearð gehalgod , and geheold wislice þone biscophad mid godre gebysnunge , Gode to gecwemednysse , swa swa us cyðað bec ; and ures Drihtnes geleafa adwæscte þæt hæþengild , for þan þe se cristendom com gehwær and þær . Oft sædon þa hæþenan þæt ure hælend Crist come æfter";singular
18;"and hire modor samod , and eall heora hired samod , sume þreo hund manna ; and fela ðæra hæðenra fengon to geleafan . Se fæder swa ðeah Rufus , for þæs caseres reðnysse , ne dorste geopenian þæt he on Drihten gelyfde , ac he digellice lufode þone geleaffullan";bisceop;, and mid wistum him þenode , and his dohtor wearð gehadod to Godes ðeowdome , and þurhwunode mæden . Appollonaris þa wearð gewreged to þam casere and to witnunge gelæd , and on þam witum geandette þæs hælendes naman , and sum hæðen mann þe him swyðost onwann awedde;singular
19;"and mid his ræde gehyrte eallum onlocigendum , þe ðær on ymbhwyrfte wæron . Hwæt ða on þone feorðan dæg het se foresæda dema gelædan ðone halgan on heardre racenteage , feorr on wræcsið ferigende on scipe . Þær wæs sum æðelboren man , atelice hreoflig ; þa axode se";bisceop;", wylt ðu beon hal ? He cwæð , ic wylle ; and him andwyrde se halga bisceop , Gelyf on hælend Crist ; and se hæðena him andwyrde , gif he me gehælð he bið min hælend God . Appollonaris ða hrepode þone untruman hreoflian on ðæs hælendes naman";singular
20;"and oðrum manegum spræcum , gewat se halga wer of worulde to Gode , mid þam he a wunað on þære ecean eadignysse ; and his leorningcnihtes ledon his lic arwurðlice on ane stænene þruh , and seo stod wið þone weall . Twam læs ðryttig geara he wæs heora";bisceop;"on manegum ehtnyssum , þam ælmihtigan þeowigende , and his edlean bið nu endeleas forðy mid þam ælmihtigan Gode , þe on ecnysse rixað ; AMEN . </doc><doc filename=coaelive.o3 period=o3 shorttitle=ÆLS_[Abdon_and_Sennes]> III. KAL. AUGUSTI . NATALIS SANCTORUM ABDON ET SENNES . On Decies dagum ðæs deoflican caseres wæron twegen kyningas on Crist gelyfde ,";
21;and sume hys gerefan oftorfodan mid stanum . Þa wearð se casere þearle gegremod , and asende his here to þære heafodbyrig , het ealle ofslean þa ceastergewaran , ge scyldige ge unscyldige for hys foresewennysse , and man ofsloh þær þa seofon þusenda manna . Ða wæs sum mære;biscop;, Ambrosius gehaten , on Mediolanabyrig , swiðe breme lareow and swiðe anræde mann . Þa ofahsode he þiss , and he swiðe bemænde þæt se mæra casere swylce dæde gedyde ongean hys Drihten . Hit gelamp þa siððan æfter lytlum fæce þæt se casere com mid hys cempum farende;
22;anræde mann . Þa ofahsode he þiss , and he swiðe bemænde þæt se mæra casere swylce dæde gedyde ongean hys Drihten . Hit gelamp þa siððan æfter lytlum fæce þæt se casere com mid hys cempum farende to Mediolanabyrig , wolde hyne gebiddan æt þam biscopstole , ac se;biscop;"eode ut hym togeanes and forwyrnde hym innganges . Ambrosius hym cwæð to : eala þu casere , nast þu þa micelnysse þæra manna sleges þe ðu gefremodest þurh þine reðnysse , ne þin mod ne oncnæwð þone micclan hefe þinre dyrstignysse þe þu gedon hæfst ; oððe hwæþer þin";
23;anwilnyss to deopran synne . Underfoh þone bend þe ure Drihten geband : he is se mæsta læcedom þinre manfullan dæde . Þa wiste se casere wel hwæt he mænde , þæt he sylf wære gebunden þurh þæs biscopes hæse , and fram Godes cyrcan ascyred swa wære oðþæt se;bisceop;"hyne unbunde eft ; and he wæs þa gehyrsum hys hæsum sona , gewende þa swa ham dreoriglice heofigende . He sæt þa on hys bure biterlice wepende eahta monðas fullice for hys misdæde , þæt he næfre ne geswac þære sorhfullan geomrunge oðþæt hit genealæhte þæs hælendes gebyrdtide to";
